epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
415,339,1,1,10,0,6,------,------,000,1,1,0,98,98
408,341,4,2,10,0,5,-----,-----,000,1,1,0,98,98
401,342,6,3,10,0,5,-----,-----,000,1,1,0,98,98
394,343,8,4,10,0,4,----,----,000,1,1,0,98,98
386,344,10,5,10,0,3,---,---,000,1,1,0,98,98
379,345,12,0,10,0,4,----,----,000,1,1,0,98,98
372,346,14,7,10,0,2,--,--,000,1,1,0,98,98
364,348,16,8,10,0,3,---,---,000,1,1,0,98,98
357,349,18,9,10,0,3,---,---,000,1,1,0,98,98
342,350,20,11,10,0,2,--,--,000,1,1,0,98,98
