epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
165,206,4,7,2,0,4,----,----,000,1,1,0,1478,1478
165,206,5,7,2,0,4,----,----,000,1,1,0,1478,1478
198,206,1023,3,2,0,2,--,--,000,6,1,5,3540,590
157,206,6,8,2,0,4,----,----,000,1,1,0,1478,1478
166,206,1023,7,2,0,4,----,----,000,2,1,1,1180,590
166,206,4,7,2,0,4,----,----,000,1,1,0,1478,1478
174,206,1023,6,2,0,3,---,---,000,3,1,2,1770,590
166,206,5,7,2,0,4,----,----,000,1,1,0,1478,1478
200,208,1023,3,2,0,2,--,--,000,3,1,2,1770,590
158,206,6,8,2,0,4,----,----,000,1,1,0,1478,1478
168,208,1023,7,2,0,4,----,----,000,2,1,1,1180,590
176,208,1023,6,2,0,3,---,---,000,3,1,2,1770,590
150,206,9,9,2,0,5,-----,-----,000,2,2,0,2956,2956
142,206,12,10,2,0,5,-----,-----,000,2,2,0,2956,2956
150,206,10,9,2,0,5,-----,-----,000,2,2,0,2956,2956
150,206,11,9,2,0,5,-----,-----,000,2,2,0,2956,2956
167,208,4,7,2,0,4,----,----,000,1,1,0,1478,1478
152,208,1023,9,2,0,5,-----,-----,000,1,1,0,590,590
167,208,5,7,2,0,4,----,----,000,1,1,0,1478,1478
202,210,1023,3,2,0,2,--,--,000,1,1,0,590,590
159,208,6,8,2,0,4,----,----,000,1,1,0,1478,1478
169,210,1023,7,2,0,4,----,----,000,3,1,2,1770,590
177,210,1023,6,2,0,3,---,---,000,4,1,3,2360,590
154,210,1023,9,2,0,5,-----,-----,000,1,1,0,590,590
138,210,1023,11,2,0,6,------,------,000,2,1,1,1180,590
152,208,9,9,2,0,5,-----,-----,000,1,1,0,1478,1478
152,208,10,9,2,0,5,-----,-----,000,1,1,0,1478,1478
152,208,11,9,2,0,5,-----,-----,000,1,1,0,1478,1478
144,208,12,10,2,0,5,-----,-----,000,1,1,0,1478,1478
154,210,1023,9,2,0,5,-----,-----,000,3,1,2,1770,590
169,210,4,7,2,0,4,----,----,000,1,1,0,1478,1478
169,210,5,7,2,0,4,----,----,000,1,1,0,1478,1478
203,212,1023,3,2,0,2,--,--,000,2,1,1,1180,590
161,210,6,8,2,0,4,----,----,000,1,1,0,1478,1478
171,212,1023,7,2,0,4,----,----,000,3,1,2,1770,590
179,212,1023,6,2,0,3,---,---,000,2,1,1,1180,590
155,212,1023,9,2,0,5,-----,-----,000,1,1,0,590,590
139,212,1023,11,2,0,6,------,------,000,4,1,3,2360,590
146,210,12,10,2,0,5,-----,-----,000,1,1,0,1478,1478
154,210,9,9,2,0,5,-----,-----,000,1,1,0,1478,1478
154,210,10,9,2,0,5,-----,-----,000,1,1,0,1478,1478
154,210,11,9,2,0,5,-----,-----,000,1,1,0,1478,1478
171,212,4,7,2,0,4,----,----,000,1,1,0,1478,1478
155,212,1023,9,2,0,5,-----,-----,000,3,1,2,1770,590
171,212,5,7,2,0,4,----,----,000,1,1,0,1478,1478
205,213,1023,3,2,0,2,--,--,000,2,1,1,1180,590
163,212,6,8,2,0,4,----,----,000,1,1,0,1478,1478
173,213,1023,7,2,0,4,----,----,000,2,1,1,1180,590
155,212,9,9,2,0,5,-----,-----,000,1,1,0,1478,1478
155,212,10,9,2,0,5,-----,-----,000,1,1,0,1478,1478
155,212,11,9,2,0,5,-----,-----,000,1,1,0,1478,1478
147,212,12,10,2,0,5,-----,-----,000,1,1,0,1478,1478
181,213,1023,6,2,0,3,---,---,000,2,1,1,1180,590
173,213,4,7,2,0,4,----,----,000,1,1,0,1478,1478
173,213,5,7,2,0,4,----,----,000,1,1,0,1478,1478
165,213,6,8,2,0,4,----,----,000,1,1,0,1478,1478
207,215,1023,3,2,0,2,--,--,000,2,1,1,1180,590
175,215,1023,7,2,0,4,----,----,000,1,1,0,590,590
183,215,1023,6,2,0,3,---,---,000,1,1,0,590,590
157,213,9,9,2,0,5,-----,-----,000,1,1,0,1478,1478
157,213,10,9,2,0,5,-----,-----,000,1,1,0,1478,1478
157,213,11,9,2,0,5,-----,-----,000,1,1,0,1478,1478
149,213,12,10,2,0,5,-----,-----,000,1,1,0,1478,1478
175,215,4,7,2,0,4,----,----,000,1,1,0,1478,1478
175,215,5,7,2,0,4,----,----,000,1,1,0,1478,1478
167,215,6,8,2,0,4,----,----,000,1,1,0,1478,1478
151,215,12,10,2,0,5,-----,-----,000,1,1,0,1478,1478
159,215,9,9,2,0,5,-----,-----,000,1,1,0,1478,1478
159,215,10,9,2,0,5,-----,-----,000,1,1,0,1478,1478
159,215,11,9,2,0,5,-----,-----,000,1,1,0,1478,1478
176,217,4,7,2,0,4,----,----,000,1,1,0,1478,1478
176,217,5,7,2,0,4,----,----,000,1,1,0,1478,1478
168,217,6,8,2,0,4,----,----,000,1,1,0,1478,1478
159,215,1023,9,2,0,5,-----,-----,000,1,1,0,590,590
161,217,9,9,2,0,5,-----,-----,000,1,1,0,1478,1478
161,217,10,9,2,0,5,-----,-----,000,1,1,0,1478,1478
161,217,11,9,2,0,5,-----,-----,000,1,1,0,1478,1478
153,217,12,10,2,0,5,-----,-----,000,1,1,0,1478,1478
146,219,1023,11,2,0,6,------,------,000,1,1,0,590,590
399,391,1023,1,2,0,2,--,--,000,11,2,9,1078,196
383,391,1023,3,2,0,2,--,--,000,2,1,1,196,98
375,391,1023,4,2,0,2,--,--,000,2,1,1,196,98
367,391,1023,5,2,0,3,---,---,000,2,1,1,196,98
359,392,1023,6,2,0,3,---,---,000,2,1,1,196,98
351,392,1023,7,2,0,4,----,----,000,2,1,1,196,98
343,392,1023,8,2,0,4,----,----,000,2,1,1,196,98
335,392,1023,9,2,0,5,-----,-----,000,2,1,1,196,98
327,392,1023,10,2,0,5,-----,-----,000,2,1,1,196,98
320,392,1023,11,2,0,6,------,------,000,1,1,0,98,98
384,392,1023,3,2,0,2,--,--,000,2,1,1,196,98
376,392,1023,4,2,0,2,--,--,000,3,1,2,294,98
369,393,1023,5,2,0,3,---,---,000,2,1,1,196,98
361,393,1023,6,2,0,3,---,---,000,3,1,2,294,98
354,394,1023,7,2,0,4,----,----,000,2,1,1,196,98
346,394,1023,8,2,0,4,----,----,000,3,1,2,294,98
339,395,1023,9,2,0,5,-----,-----,000,2,1,1,196,98
331,395,1023,10,2,0,5,-----,-----,000,3,1,2,294,98
